Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2023 ( Bersih ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,Luas Lahan,IP
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,Luas Lahan,IP,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,90,69,431.25,89,90,562.5,0,115,718.75,44,90,562.5,90,89,556.25,1001,867,5418.75,484,2.068181818,,,,,,,,,,,,,,,,,,,,,
Stm Hulu,100,72,450,73,93,581.25,10,70,437.5,70,100,625,100,73,456.25,723,543,3393.75,364,1.986263736,,,,,,,,,,,,,,,,,,,,,
Sibolangit,70,61,381.25,50,45,281.25,0,10,62.5,10,70,437.5,70,2,12.5,496,616,3850,258,1.92248062,,,,,,,,,,,,,,,,,,,,,
Kutalimbaru,30,95,593.75,91,113,706.25,8,28,175,130,30,187.5,30,91,568.75,760,730,4562.5,448,1.696428571,,,,,,,,,,,,,,,,,,,,,
Pancur Batu,10,80,500,60,2,12.5,16,6,37.5,12,10,62.5,58,60,375,328,285,1781.25,223,1.470852018,,,,,,,,,,,,,,,,,,,,,
Namo Rambe,20,302,1887.5,60,200,1250,250,19,118.75,170,20,125,20,60,375,1527,1608,10050,675,2.262222222,,,,,,,,,,,,,,,,,,,,,
Biru-biru,102,119,743.75,120,101,631.25,50,194,1212.5,194,102,637.5,102,120,750,1199,1298,8112.5,514,2.332684825,,,,,,,,,,,,,,,,,,,,,
Stm Hilir,70,75,468.75,70,30,187.5,200,75,468.75,30,70,437.5,70,70,437.5,793,792,4950,354,2.240112994,,,,,,,,,,,,,,,,,,,,,
Bangun Purba,20,6,37.5,6,17,106.25,0,18,112.5,18,20,125,20,6,37.5,172,174,1087.5,65,2.646153846,,,,,,,,,,,,,,,,,,,,,
Galang,60,226,1412.5,226,350,2187.5,391,111,693.75,90,60,375,60,226,1412.5,1937,1814,11337.5,710,2.728169014,,,,,,,,,,,,,,,,,,,,,
