Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Pantai Labu,0,1249.4,7808.75,106.7,1460.9,9130.625,200.9,0,0,317.2,0,0,788.1,307.6,1922.5,549.7,200.9,1255.625,1953.9,317.2,1982.5,317.2,788.1,4925.625,1248.5,549.7,3435.625,1585.8,1753,10956.25,831.4,317.2,1982.5,317.2,1248.5,7803.125,8216.6,8192.5,51203.125,1.98277027,,4144
Beringin,0,1176.4,7352.5,4.8,0,0,168.2,0,0,908.2,0,0,830.4,4.8,30,521.9,168.2,1051.25,147,908.2,5676.25,187.4,830.4,5190,2152.9,521.9,3261.875,0,147,918.75,235.5,187.4,1171.25,187.4,2152.9,13455.625,5343.7,6097.2,38107.5,1.99391791,,2680
Lubuk Pakam,0,887.1,5544.375,0,0,0,0,0,0,7.7,0,0,1140.8,0,0,236.4,0,0,7.7,7.7,48.125,384.4,384.4,2402.5,236.4,236.4,1477.5,70.2,764.1,4775.625,693.9,384.4,2402.5,384.4,236.4,1477.5,3161.9,2900.5,18128.125,2.194240111,,1441
Pagar Merbau,0,838.1,5238.125,0,182.6,1141.25,48.1,0,0,624.7,0,0,1333,0,0,0,48.1,300.625,0,624.7,3904.375,624.7,1333,8331.25,1381.1,0,0,0,0,0,0,0,0,624.7,1381.1,8631.875,4636.3,4407.6,27547.5,2.221514135,,2087
JUMLAH,941.8,9131.4,57071.25,1485.9,10575.1,66094.375,5046.9,2936.2,18351.25,2692,842.9,5268.125,5162,2110.6,13191.25,5214.8,4453.8,27836.25,13660.9,2628.7,16429.375,5104.3,4541.9,28386.875,8807.6,5620.4,35127.5,8909.2,15486.2,96788.75,10254.4,4377.7,27360.625,5055.3,9436.2,58976.25,72335.1,72141.1,450881.875,2.128003648,,33992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
