Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi
Gunung Meriah,100,28.8,180,33.6,311.4,1946.25,0,78.8,492.5,0,100,625,403.7,54.8,342.5,61.5,72.1,450.625,0,96.1,600.625,0,420,2625,10,64,400,0,0,0,0,0,0,0,0,0,608.8,1226,7662.5
Stm Hulu,0,132.6,828.75,9.6,198,1237.5,6.7,0,0,0,0,0,0,9.6,60,68.2,53.8,336.25,274.9,192.2,1201.25,7,0,0,0,71,443.75,0,274.9,1718.125,0,4,25,0,0,0,366.4,936.1,5850.625
Sibolangit,0,0,0,14.4,28.8,180,199.9,0,0,0,0,0,0,14.4,90,0,199.9,1249.375,201.8,0,0,0,0,0,48,0,0,0,201.8,1261.25,200,0,0,0,48,300,664.1,492.9,3080.625
Kutalimbaru,0,28.8,180,48.1,354.6,2216.25,0,27.9,174.375,0,0,0,297.9,48.1,300.625,0,0,0,132.6,0,0,0,310,1937.5,93,0,0,0,132.6,828.75,0,0,0,138,93,581.25,709.6,995,6218.75
Pancur Batu,0,9.6,60,9.6,144.2,901.25,4.8,34.6,216.25,46.1,0,0,50.9,9.6,60,19.2,4.8,30,144.2,46.1,288.125,0,0,0,53,20,125,33,144.2,901.25,0,0,0,10,53,331.25,370.8,466.1,2913.125
Namo Rambe,0,96.1,600.625,82.7,96.1,600.625,174.9,9.6,60,31.7,0,0,0,82.7,516.875,0,174.9,1093.125,0,31.7,198.125,277,0,0,0,0,0,244,0,0,277,277,1731.25,0,0,0,1087.3,768.1,4800.625
Biru-biru,0,68.2,426.25,0,272,1700,4.8,81.7,510.625,196.1,0,0,157.6,0,0,124.9,4.8,30,10.6,196.1,1225.625,0,164,1025,209,130,812.5,229,10.6,66.25,302,0,0,115,209,1306.25,1349,1136.4,7102.5
Stm Hilir,0,141.3,883.125,0,28.8,180,1.9,14.4,90,0,0,0,81.7,0,0,170.1,0,0,40.4,0,0,0,84,525,50,177,1106.25,224,40.4,252.5,0,0,0,75,50,312.5,643.1,535.9,3349.375
Bangun Purba,0,0,0,0,0,0,48.1,14.4,90,0,0,0,14.4,0,0,0,48.1,300.625,0,0,0,0,15,93.75,65,0,0,0,0,0,0,0,0,40,65,406.25,167.5,142.5,890.625
Galang,0,0,0,0,238.4,1490,48.1,444,2775,221.1,0,0,413.3,0,0,28.8,48.1,300.625,0,221.1,1381.875,0,430,2687.5,350,30,187.5,345,0,0,15,0,0,58,350,2187.5,1479.3,1761.6,11010
Tanjung Morawa,0,881.3,5508.125,20.2,345,2156.25,198.9,887.1,5544.375,194.1,0,0,1721.3,20.2,126.25,0,0,0,208.6,208.6,1303.75,242,1791,11193.75,1554,0,0,217,208.6,1303.75,242,242,1512.5,242,1554,9712.5,4840.1,6137.8,38361.25
Patumbak,0,7.7,48.125,24,151.9,949.375,0,28.8,180,0,0,0,0,9.6,60,0,0,0,208.6,0,0,0,0,0,0,0,0,0,208.6,1303.75,210,0,0,107,0,0,549.6,406.6,2541.25
Deli Tua,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,3.8,3.8,23.75,0,0,0,0,0,0,10,4,25,2,0,0,0,0,0,0,10,62.5,19.6,17.8,111.25
Sunggal,0,198.9,1243.125,813.1,535.3,3345.625,0,407.5,2546.875,467.1,0,0,0,813.1,5081.875,38.4,0,0,996.7,467.1,2919.375,255,0,0,0,40,250,110,996.7,6229.375,870,255,1593.75,300,0,0,3850.3,3713.6,23210
Hamparan Perak,0,2810.3,17564.375,0,768.9,4805.625,1134.1,0,0,865,0,0,3104.4,0,0,0,1134.1,7088.125,384.4,865,5406.25,551,3230,20187.5,4727,0,0,0,384.4,2402.5,600,551,3443.75,1160,4727,29543.75,12525.9,14470.7,90441.875
Labuhan Deli,0,121.1,756.875,0,2190.3,13689.375,0,961.1,6006.875,1730,0,0,180.7,0,0,644.9,0,0,497.8,1730,10812.5,660,188,1175,900,671,4193.75,810,497.8,3111.25,1350,660,4125,660,900,5625,7433.4,7919.3,49495.625
Percut S Tuan,48.1,2704.5,16903.125,0,1216.8,7605,874.6,357.5,2234.375,0,48.1,300.625,527.6,48.1,300.625,639.1,874.6,5466.25,2738.2,100.9,630.625,1015,549,3431.25,300,665,4156.25,582,2738.2,17113.75,960,1015,6343.75,1290,300,1875,8974.6,10617.7,66360.625
Batang Kuis,0,33.6,210,0,446,2787.5,195.1,38.4,240,75,0,0,67.3,0,0,0,195.1,1219.375,613.2,75,468.75,380,70,437.5,89,0,0,0,613.2,3832.5,900,380,2375,120,89,556.25,2439.6,1940.3,12126.875
Pantai Labu,0,1585.8,9911.25,0,831.4,5196.25,826.5,250.8,1567.5,826.5,0,0,2306.6,0,0,7.7,826.5,5165.625,613.2,826.5,5165.625,1074,2400,15000,1424,8,50,480,613.2,3832.5,1610,1074,6712.5,2120,1424,8900,11288.5,9840.2,61501.25
Beringin,0,0,0,0,235.5,1471.875,331.6,187.4,1171.25,1484.9,0,0,0,0,0,0,331.6,2072.5,118.2,1484.9,9280.625,1690,0,0,200,0,0,0,118.2,738.75,1500,1143,7143.75,250,0,0,5574.7,3500.6,21878.75
Lubuk Pakam,0,70.2,438.75,0,693.9,4336.875,307.6,384.4,2402.5,213.4,0,0,480.6,0,0,592,307.6,1922.5,0,213.4,1333.75,0,500,3125,825,616,3850,616,0,0,0,0,0,420,825,5156.25,3454.6,3610.5,22565.625
Pagar Merbau,0,0,0,0,0,0,694.9,624.7,3904.375,686.2,0,0,0,0,0,506.5,694.9,4343.125,118.2,686.2,4288.75,0,0,0,1437,527,3293.75,123,118.2,738.75,0,0,0,1030,1437,8981.25,4595.8,4088,25550
JUMLAH,148.1,8918.8,55742.5,1055.3,9087.3,56795.625,5056.3,4833.1,30206.875,7037.2,148.1,925.625,9808,1110.2,6938.75,2905.1,4974.7,31091.875,7301.6,7440.9,46505.625,6151,10151,63443.75,12344,3023,18893.75,4015,7301.6,45635,9036,5601,35006.25,8135,12134,75837.5,72992.6,74723.7,467023.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,0,420,2625,10,64,400,0,0,0,0,0,0,0,0,0,608.8,1226,7662.5,,,,,,,,,,,,,,,,,,,,,
Stm Hulu,7,0,0,0,71,443.75,0,274.9,1718.125,0,4,25,0,0,0,366.4,936.1,5850.625,,,,,,,,,,,,,,,,,,,,,
