Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,
Sibolangit,0,0,0,48,0,0,0,201.8,1261.25,200,0,0,0,48,300,664.1,492.9,3080.625,,,,,,,,,,,,,,,,,,,,,
Kutalimbaru,0,310,1937.5,93,0,0,0,132.6,828.75,0,0,0,138,93,581.25,709.6,995,6218.75,,,,,,,,,,,,,,,,,,,,,
Pancur Batu,0,0,0,53,20,125,33,144.2,901.25,0,0,0,10,53,331.25,370.8,466.1,2913.125,,,,,,,,,,,,,,,,,,,,,
Namo Rambe,277,0,0,0,0,0,244,0,0,277,277,1731.25,0,0,0,1087.3,768.1,4800.625,,,,,,,,,,,,,,,,,,,,,
Biru-biru,0,164,1025,209,130,812.5,229,10.6,66.25,302,0,0,115,209,1306.25,1349,1136.4,7102.5,,,,,,,,,,,,,,,,,,,,,
Stm Hilir,0,84,525,50,177,1106.25,224,40.4,252.5,0,0,0,75,50,312.5,643.1,535.9,3349.375,,,,,,,,,,,,,,,,,,,,,
Bangun Purba,0,15,93.75,65,0,0,0,0,0,0,0,0,40,65,406.25,167.5,142.5,890.625,,,,,,,,,,,,,,,,,,,,,
Galang,0,430,2687.5,350,30,187.5,345,0,0,15,0,0,58,350,2187.5,1479.3,1761.6,11010,,,,,,,,,,,,,,,,,,,,,
Tanjung Morawa,242,1791,11193.75,1554,0,0,217,208.6,1303.75,242,242,1512.5,242,1554,9712.5,4840.1,6137.8,38361.25,,,,,,,,,,,,,,,,,,,,,
Patumbak,0,0,0,0,0,0,0,208.6,1303.75,210,0,0,107,0,0,549.6,406.6,2541.25,,,,,,,,,,,,,,,,,,,,,
Deli Tua,0,0,0,10,4,25,2,0,0,0,0,0,0,10,62.5,19.6,17.8,111.25,,,,,,,,,,,,,,,,,,,,,
Sunggal,255,0,0,0,40,250,110,996.7,6229.375,870,255,1593.75,300,0,0,3850.3,3713.6,23210,,,,,,,,,,,,,,,,,,,,,
Hamparan Perak,551,3230,20187.5,4727,0,0,0,384.4,2402.5,600,551,3443.75,1160,4727,29543.75,12525.9,14470.7,90441.875,,,,,,,,,,,,,,,,,,,,,
Labuhan Deli,660,188,1175,900,671,4193.75,810,497.8,3111.25,1350,660,4125,660,900,5625,7433.4,7919.3,49495.625,,,,,,,,,,,,,,,,,,,,,
Percut S Tuan,1015,549,3431.25,300,665,4156.25,582,2738.2,17113.75,960,1015,6343.75,1290,300,1875,8974.6,10617.7,66360.625,,,,,,,,,,,,,,,,,,,,,
Batang Kuis,380,70,437.5,89,0,0,0,613.2,3832.5,900,380,2375,120,89,556.25,2439.6,1940.3,12126.875,,,,,,,,,,,,,,,,,,,,,
Pantai Labu,1074,2400,15000,1424,8,50,480,613.2,3832.5,1610,1074,6712.5,2120,1424,8900,11288.5,9840.2,61501.25,,,,,,,,,,,,,,,,,,,,,
Beringin,1690,0,0,200,0,0,0,118.2,738.75,1500,1143,7143.75,250,0,0,5574.7,3500.6,21878.75,,,,,,,,,,,,,,,,,,,,,
Lubuk Pakam,0,500,3125,825,616,3850,616,0,0,0,0,0,420,825,5156.25,3454.6,3610.5,22565.625,,,,,,,,,,,,,,,,,,,,,
Pagar Merbau,0,0,0,1437,527,3293.75,123,118.2,738.75,0,0,0,1030,1437,8981.25,4595.8,4088,25550,,,,,,,,,,,,,,,,,,,,,
JUMLAH,6151,10151,63443.75,12344,3023,18893.75,4015,7301.6,45635,9036,5601,35006.25,8135,12134,75837.5,72992.6,74723.7,467023.125,,,,,,,,,,,,,,,,,,,,,
