Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Batang Kuis,0,778.5,4874.1885,0,0,0,103.8,0,0,9.6,179.7,1125.1017,77.8,19.2,120.2112,788.1,92.3,577.8903,103.8,9.6,60.1056,9.6,841,5265.501,77.8,96.1,601.6821,211.4,24,150.264,600.7,9.6,60.1056,0,77.8,487.1058,1982.6,2127.8,13322.1558,1.945632974,,1019
Pantai Labu,0,2395.1,14995.7211,0,0,0,0,0,0,96.1,0,0,1176.4,935.1,5854.6611,2710.3,0,0,0,268.1,1678.5741,118.2,1176.4,7365.4404,1154.3,1922.2,12034.8942,1249.4,0,0,1460.9,884.2,5535.9762,0,1154.3,7227.0723,7965.6,8735.4,54692.3394,1.922200772,,4144
Beringin,0,573.8,3592.5618,0,1264.8,7918.9128,153.8,0,0,96.1,0,0,1490.7,0,0,940.9,153.8,962.9418,0,96.1,601.6821,0,1490.7,9333.2727,1399.4,940.9,5890.9749,1176.4,0,0,0,0,0,0,1399.4,8761.6434,5257.3,5919.5,37061.9895,1.961679104,,2680
Lubuk Pakam,0,1022.6,6402.4986,0,393.1,2461.1991,0,0,0,0,0,0,841,0,0,544,0,0,0,0,0,0,841,5265.501,497.8,544,3405.984,887.1,0,0,0,0,0,0,497.8,3116.7258,2769.9,3298.5,20651.9085,1.922206801,,1441
Pagar Merbau,0,442.1,2767.9881,0,0,0,0,451.7,2828.0937,259.5,0,0,1567.6,0,0,178.8,0,0,0,192.2,1203.3642,0,1567.6,9814.7436,985.1,246,1540.206,838.1,0,0,182.6,0,0,0,985.1,6167.7111,4011.7,3884.7,24322.1067,1.92223287,,2087
JUMLAH,482.5,11848.5,74183.4585,801.6,5754.1,36026.4201,418.1,3140,19659.54,1866.4,1000.5,6264.1305,11404.5,1899.1,11890.2651,13386.2,531.6,3328.3476,4596.9,2192.1,13724.7381,2958.3,12167.7,76181.9697,9546.7,11855.1,74224.7811,9995.4,5409,33865.749,10774,4440.2,27800.0922,4598.8,9179.5,57472.8495,70829.4,69417.4,434619.837,2.083707931,,33992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
