Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,50,80,486.4,70,86,522.88,13,45,273.6,20,50,304,0,70,425.6,498,599,3641.92,,,,,,,,,,,,,,,,,,,,,
Stm Hulu,88,0,0,49,95,577.6,10,60,364.8,0,88,535.04,0,49,297.92,542,712,4328.96,,,,,,,,,,,,,,,,,,,,,
Sibolangit,57,55,334.4,40,90,547.2,30,180,1094.4,0,57,346.56,0,40,243.2,736,786,4778.88,,,,,,,,,,,,,,,,,,,,,
Kutalimbaru,77,102,620.16,90,20,121.6,120,30,182.4,131,77,468.16,90,90,547.2,766,616,3745.28,,,,,,,,,,,,,,,,,,,,,
Pancur Batu,160,127,772.16,127,50,304,214,180,1094.4,140,160,972.8,116,127,772.16,1162,778,4730.24,,,,,,,,,,,,,,,,,,,,,
Namo Rambe,110,305,1854.4,113,150,912,64,21,127.68,110,110,668.8,110,113,687.04,1221,1377,8372.16,,,,,,,,,,,,,,,,,,,,,
Biru-biru,102,119,723.52,119,100,608,100,128,778.24,97,102,620.16,102,119,723.52,1057,1104,6712.32,,,,,,,,,,,,,,,,,,,,,
Stm Hilir,76,75,456,90,128,778.24,128,126,766.08,106,76,462.08,0,90,547.2,920,986,5994.88,,,,,,,,,,,,,,,,,,,,,
Bangun Purba,22,6,36.48,10,14,85.12,1,0,0,0,22,133.76,0,10,60.8,96,133,808.64,,,,,,,,,,,,,,,,,,,,,
Galang,40,226,1374.08,230,330,2006.4,90,172,1045.76,0,40,243.2,40,230,1398.4,1778,2189,13309.12,,,,,,,,,,,,,,,,,,,,,
Tanjung Morawa,800,493,2997.44,869,345,2097.6,1061,848,5155.84,800,800,4864,869,869,5283.52,7820,6182,37586.56,,,,,,,,,,,,,,,,,,,,,
Patumbak,37,60,364.8,90,70,425.6,70,140,851.2,100,37,224.96,37,90,547.2,709,588,3575.04,,,,,,,,,,,,,,,,,,,,,
Deli Tua,2,6,36.48,6,4,24.32,4,4,24.32,0,2,12.16,0,6,36.48,32,35,212.8,,,,,,,,,,,,,,,,,,,,,
Sunggal,159,360,2188.8,355,800,4864,983,320,1945.6,159,159,966.72,59,355,2158.4,4232,4190,25475.2,,,,,,,,,,,,,,,,,,,,,
Hamparan Perak,320,1060,6444.8,60,1038,6311.04,118,1200,7296,22,320,1945.6,87,60,364.8,7725,9850,59888,,,,,,,,,,,,,,,,,,,,,
Labuhan Deli,807,952,5788.16,980,998,6067.84,969,776,4718.08,700,807,4906.56,1045,943,5733.44,10082,9259,56294.72,,,,,,,,,,,,,,,,,,,,,
Percut S Tuan,808,1550,9424,1186,1500,9120,1500,630,3830.4,1000,808,4912.64,1309,1186,7210.88,12433,10959,66630.72,,,,,,,,,,,,,,,,,,,,,
Batang Kuis,0,135,820.8,676,750,4560,361,240,1459.2,0,0,0,0,676,4110.08,2857,3508,21328.64,,,,,,,,,,,,,,,,,,,,,
Pantai Labu,530,1334,8110.72,1220,730,4438.4,813,286,1738.88,530,530,3222.4,960,1220,7417.6,8127,8367,50871.36,,,,,,,,,,,,,,,,,,,,,
Beringin,779,990,6019.2,1110,1150,6992,230,780,4742.4,438,779,4736.32,0,1110,6748.8,7829,9123,55467.84,,,,,,,,,,,,,,,,,,,,,
Lubuk Pakam,232,360,2188.8,350,535,3252.8,226,264,1605.12,100,232,1410.56,120,350,2128,3393,3951,24022.08,,,,,,,,,,,,,,,,,,,,,
Pagar Merbau,188,924,5617.92,925,410,2492.8,410,215,1307.2,228,188,1143.04,385,925,5624,4972,4647,28253.76,,,,,,,,,,,,,,,,,,,,,
JUMLAH,5444,9319,56659.52,8765,9393,57109.44,7515,6645,40401.6,4681,5444,33099.52,5329,8728,53066.24,78987,79939,486029.12,,,,,,,,,,,,,,,,,,,,,
